x,y,temperature,precipitation,genetic_diversity
1,1,-0.24588105666391843,-0.7357718943440394,0.6837849971666905
2,1,-0.21813215512003178,-0.7412026805868368,0.7078209504134094
3,1,-0.1820243429613184,-0.7369776583167607,0.719748623493805
4,1,-0.13783577111349735,-0.7246191650203845,0.7113718475967233
5,1,-0.08640105371210607,-0.7057779873069717,0.6905578061632764
6,1,-0.028629294795564916,-0.682589622738311,0.6635662677092731
7,1,0.034547959021416844,-0.6571696003692302,0.6259217467154172
8,1,0.10174737091184116,-0.6316810412779378,0.6025050412148979
9,1,0.17195573424981325,-0.6075613979813769,0.5812295807247273
10,1,0.24387620121230413,-0.5860124413281917,0.5696468891635406
11,1,0.31628693693229065,-0.5677883059541655,0.5618846562374639
12,1,0.3882218013462941,-0.5531822673597185,0.565680697301993
13,1,0.4588156444135181,-0.5421234690812006,0.5729067070748131
14,1,0.5273034506898485,-0.5340037674138997,0.5910207801975824
15,1,0.5930881965153842,-0.5282560276330263,0.6103517775753944
16,1,0.6558258655073255,-0.5236196388976244,0.633476004695685
17,1,0.7157010109478804,-0.5186613829390843,0.6706455297322979
18,1,0.77279498370627,-0.5115018225442424,0.6979405450117543
19,1,0.8275808139751043,-0.5000020960576147,0.7240155578574323
20,1,0.8806725022377536,-0.4821922454111286,0.7558056994702792
21,1,0.933052260750931,-0.4559091929286973,0.7843146888180428
22,1,0.985486543215033,-0.41943405266104955,0.8002837011977543
23,1,1.038875333857498,-0.3710939215308425,0.7978963126134208
24,1,1.0943157993036976,-0.31065405950342295,0.7965683456384357
25,1,1.15287419430696,-0.23796311138886891,0.777633783015646
26,1,1.214995639380679,-0.1540616938252438,0.7468060101496978
27,1,1.281339661069111,-0.06064418106876542,0.7078037881872994
28,1,1.3522272854991775,0.03982054563968307,0.6624959981577596
29,1,1.427721649241539,0.1446686748589584,0.6058868973758047
30,1,1.5071730091449242,0.2508708132602312,0.5612710407409474
31,1,1.5898687857513683,0.35531987643985824,0.5028161548303357
32,1,1.6746410920915058,0.45561720163216907,0.46164874936749145
33,1,1.7601068484280942,0.5492367205783736,0.4230182632988739
34,1,1.8444325470037093,0.6349545575054626,0.3888858969836166
35,1,1.925652569577842,0.7113787539029365,0.367195773902676
36,1,2.0015916615810543,0.7776672990971025,0.34638437157902396
37,1,2.069884417194121,0.8337929880187674,0.33867097806921476
38,1,2.1283118830816417,0.8798417861516902,0.33334936820939726
39,1,2.1748344151928256,0.9159413232799233,0.3378398180103317
40,1,2.2074083973282557,0.9429419327107302,0.3449370137274654
41,1,2.224308769549629,0.9616203078368241,0.3543608179587889
42,1,2.2243898217722005,0.9729562392230697,0.3630102761044968
43,1,2.2068540514891746,0.9778741724923924,0.3796639011414695
44,1,2.1713233345837595,0.9773059339926159,0.3872333842076648
45,1,2.1179010976892365,0.9717776771007294,0.40774295499871954
46,1,2.0473845504271835,0.9616079193536244,0.4095879389545916
47,1,1.960778848252729,0.9465791045103686,0.41239901139019963
48,1,1.8596957878820872,0.9261887666617993,0.4104344898783966
49,1,1.7463244379201983,0.8989376788045259,0.41044923593129196
50,1,1.6228595923067068,0.8632871480596451,0.4127655202247018
51,1,1.492005892829677,0.8173675671927939,0.40412141144422414
52,1,1.3564766703198927,0.7593741677914523,0.405325272714726
53,1,1.2192002435681515,0.6876490458307911,0.4157796055854957
54,1,1.0831280495771367,0.6008481607001813,0.43611000763184904
55,1,0.951092252715432,0.4987710896477203,0.4553989677431248
56,1,0.8258091001643512,0.38169681990705445,0.49648581692360283
57,1,0.709835794989649,0.2511861080363215,0.5401930752991135
58,1,0.6054737892438834,0.10978258310937476,0.597509686641114
59,1,0.5144194219181473,-0.03935820546402647,0.6598664959168823
